City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
260,Waitara,-38.925,174.25,46.0,56,98,17.65,NZ,overcast clouds
261,Shubarkuduk,49.1447,56.4872,50.47,23,100,13.58,KZ,overcast clouds
262,Ajdabiya,30.7554,20.2263,71.15,60,0,12.66,LY,clear sky
263,Somogyvar,46.5814,17.6629,55.27,71,94,6.26,HU,overcast clouds
264,Broken Hill,-31.95,141.4333,75.13,30,0,10.36,AU,clear sky
265,Cape Town,-33.9258,18.4232,61.38,73,20,4.61,ZA,few clouds
266,Talnakh,69.4865,88.3972,24.66,96,95,2.75,RU,overcast clouds
267,Sidi Ali,36.0998,0.4206,66.74,65,89,4.54,DZ,overcast clouds
268,Namwala,-15.7504,26.4384,72.27,25,0,5.21,ZM,clear sky
269,Gamba,-2.65,10.0,75.22,89,89,6.82,GA,overcast clouds
270,Kudahuvadhoo,2.6708,72.8944,81.07,78,97,19.19,MV,overcast clouds
271,Taoudenni,22.6783,-3.9836,94.66,11,2,7.05,ML,clear sky
272,Colomi,-17.35,-65.8667,59.02,86,89,7.07,BO,overcast clouds
273,Juarez,31.7333,-106.4833,79.59,40,75,8.05,MX,broken clouds
274,Ulaangom,49.9811,92.0667,35.56,46,100,1.45,MN,overcast clouds
275,Harper,4.375,-7.7169,76.1,91,99,6.31,LR,overcast clouds
276,Peniche,39.3558,-9.3811,64.11,93,5,12.86,PT,clear sky
277,Mar Del Plata,-38.0023,-57.5575,60.1,90,0,8.05,AR,light rain
278,Crateus,-5.1783,-40.6775,82.56,31,2,3.87,BR,clear sky
279,Kenora,49.8167,-94.4337,56.37,62,75,5.75,CA,broken clouds
280,Jasper,37.2001,-94.3502,78.87,40,75,9.22,US,broken clouds
281,Paamiut,61.994,-49.6678,37.22,83,68,9.1,GL,broken clouds
282,Preeceville,51.95,-102.6677,41.63,43,62,12.57,CA,broken clouds
283,Lucea,18.451,-78.1736,82.85,78,32,8.97,JM,scattered clouds
284,Udachnyy,66.4167,112.4,17.11,96,96,8.16,RU,overcast clouds
285,Calama,-22.4667,-68.9333,55.89,7,0,11.5,CL,clear sky
286,Hay River,60.8156,-115.7999,49.98,46,20,12.66,CA,few clouds
287,Haines Junction,60.7522,-137.5108,51.62,81,100,3.96,CA,overcast clouds
288,Bathsheba,13.2167,-59.5167,81.21,78,75,13.8,BB,broken clouds
289,Bredasdorp,-34.5322,20.0403,49.86,92,1,7.11,ZA,clear sky
290,Murupara,-38.4667,176.7,49.68,49,71,4.85,NZ,broken clouds
291,Tamiahua,21.2667,-97.45,76.95,76,98,3.47,MX,overcast clouds
292,Kaeo,-35.1,173.7833,58.32,72,61,14.41,NZ,broken clouds
293,Vyazma,55.2104,34.2951,45.45,98,100,7.09,RU,overcast clouds
294,Muyezerskiy,63.9333,31.65,45.03,90,97,11.56,RU,overcast clouds
295,Kerema,-7.9631,145.7785,84.78,71,92,3.69,PG,overcast clouds
296,Valverde Del Camino,37.5751,-6.7543,67.03,59,0,1.97,ES,clear sky
297,Kismayo,-0.3582,42.5454,76.66,88,46,12.82,SO,scattered clouds
298,Hofn,64.2539,-15.2082,42.46,58,5,11.99,IS,clear sky
299,Grong,64.4654,12.3149,47.48,87,100,13.15,NO,light rain
300,At-Bashi,41.1702,75.8106,41.54,72,95,3.51,KG,overcast clouds
301,Kahului,20.8947,-156.47,87.82,68,40,18.41,US,scattered clouds
302,Asau,46.4333,26.4,45.52,81,99,6.08,RO,overcast clouds
303,Isangel,-19.55,169.2667,80.71,78,75,9.22,VU,broken clouds
304,Margate,51.3813,1.3862,53.31,74,4,4.0,GB,clear sky
305,Ponta Do Sol,32.6667,-17.1,68.72,80,82,5.57,PT,broken clouds
306,Kununurra,-15.7667,128.7333,85.98,58,40,6.91,AU,scattered clouds
307,Khasan,42.4308,130.6434,44.76,51,2,7.31,RU,clear sky
308,Nabire,-3.3667,135.4833,80.55,86,71,1.14,ID,broken clouds
309,Praia,14.9215,-23.5087,79.34,89,20,3.44,CV,few clouds
310,Vanavara,60.34,102.2797,27.32,85,61,2.26,RU,broken clouds
311,Glendive,47.1053,-104.7125,65.82,46,0,8.05,US,clear sky
312,Bollnas,61.3482,16.3946,58.66,87,100,17.87,SE,overcast clouds
313,Ostrovnoy,68.0531,39.5131,47.5,93,99,13.04,RU,overcast clouds
314,Sarankhola,22.3082,89.7897,76.96,94,53,3.74,BD,broken clouds
315,Am Timan,11.0297,20.2827,74.64,73,76,4.85,TD,broken clouds
316,Vizianagaram,18.1167,83.4167,76.51,94,100,0.81,IN,overcast clouds
317,Gigmoto,13.7796,124.39,83.35,80,97,7.7,PH,overcast clouds
318,Ixtapa,20.7,-105.2,85.23,66,75,4.61,MX,broken clouds
319,Van,38.4924,43.3831,67.35,19,20,12.66,TR,few clouds
320,Nome,64.5011,-165.4064,42.87,75,40,13.8,US,scattered clouds
321,Cao Bang,22.6667,106.25,74.21,89,5,1.01,VN,clear sky
322,Yuzhno-Kurilsk,44.0306,145.8556,51.98,65,97,16.73,RU,overcast clouds
323,Sisimiut,66.9395,-53.6735,30.67,89,56,7.4,GL,light snow
324,Saint-Augustin,51.226,-58.6502,50.7,92,72,8.46,CA,broken clouds
325,Kirakira,-10.4544,161.9205,83.32,72,100,6.26,SB,overcast clouds
326,Floro,61.5996,5.0328,53.56,71,100,23.02,NO,light intensity shower rain
327,Lompoc,34.6391,-120.4579,87.01,82,100,8.05,US,overcast clouds
328,Diu,20.7141,70.9822,77.45,75,72,11.41,IN,broken clouds
329,Batemans Bay,-35.7167,150.1833,58.1,96,100,12.82,AU,light rain
330,Bamako,12.65,-8.0,68.41,100,20,2.3,ML,few clouds
331,Vestmannaeyjar,63.4427,-20.2734,45.32,70,91,13.49,IS,overcast clouds
332,Chumikan,54.7183,135.315,33.62,57,33,20.49,RU,scattered clouds
333,Oistins,13.0667,-59.5333,80.69,78,75,13.8,BB,broken clouds
334,Turukhansk,65.8167,87.9833,29.79,87,99,6.69,RU,overcast clouds
335,Hernani,43.2662,-1.9762,64.0,82,100,2.3,ES,overcast clouds
336,Greytown,-29.0642,30.5928,62.46,82,21,3.24,ZA,few clouds
337,Bonthe,7.5264,-12.505,76.84,90,100,2.98,SL,moderate rain
338,Nizhniy Tsasuchey,50.5167,115.1333,28.9,58,10,3.85,RU,clear sky
339,Ust-Kulom,61.6864,53.6902,41.86,93,100,6.29,RU,light rain
340,Khanpur,28.6453,70.6567,79.38,27,0,9.17,PK,clear sky
341,Bubaque,11.2833,-15.8333,81.64,80,31,6.38,GW,light rain
342,Sinnamary,5.3833,-52.95,79.81,84,3,11.1,GF,clear sky
343,Port Hedland,-20.3167,118.5667,77.05,65,2,4.61,AU,clear sky
344,Imeni Zhelyabova,58.9544,36.5956,39.0,97,74,3.71,RU,broken clouds
345,Kuytun,54.3419,101.5036,31.68,96,100,2.53,RU,overcast clouds
346,Seymchan,62.8833,152.4333,20.35,86,100,15.77,RU,light snow
