City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
593,Auki,SB,85.55,overcast clouds,-8.7676,160.7034,Auki Motel
595,Paka,MY,75.13,few clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
596,Ensley,US,75.61,clear sky,30.5188,-87.2728,Holiday Inn Express & Suites Pensacola W I-10
597,Boyolangu,ID,75.99,overcast clouds,-8.1181,111.8935,Yos ega cv
599,Ganassi,PH,75.38,overcast clouds,7.8269,124.1034,
604,Abu Dhabi,AE,87.82,few clouds,24.4667,54.3667,Beach Rotana
609,Vanimo,PG,82.04,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
613,Kadhan,PK,78.42,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
617,Half Moon Bay,US,85.57,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
618,Doha,QA,87.78,clear sky,25.2867,51.5333,Mövenpick Doha
619,Kralendijk,BQ,82.38,clear sky,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
623,Teluknaga,ID,82.63,moderate rain,-6.0989,106.6381,Teluk Naga Seliong
624,Barentu,ER,75.2,broken clouds,15.1139,37.5928,
626,Marsh Harbour,BS,79.83,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
630,Makakilo City,US,84.56,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
638,Ternate,ID,82.2,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
642,Jackson,US,89.71,clear sky,42.4165,-122.8345,Agate Village Apartments
643,Bushehr,IR,87.1,clear sky,28.9684,50.8385,Yas Hotel
651,Kokopo,PG,84.36,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
654,Carauari,BR,83.34,broken clouds,-4.8828,-66.8958,Hotel Fellip
657,Sao Felix Do Xingu,BR,87.93,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
